Grantee Name,Discipline,Location
Parachute Literary Arts,Literary Arts,Coney Island
Park Slope Center for Successful Aging,Visual Arts,Park Slope
Pitkin Avenue Business Improvement District,Visual Arts,Brownsville
POWRPLNT,Interdisciplinary,Bushwick
Psychic Wormhole | Stacy Lynn Smith & Alex Romania,Dance,
QT Art Camp,Music,Crown Heights
Rachel Garber Cole,Interdisciplinary,
Rachel Johnson,Film/Video,
Rachel Sullivan | Grand Pistachio,Music,Prospect Heights
Raphael McGregor,Music,Red Hook
Ray Jordan Achan,Performing Arts,Greenpoint
Redhawk Native American Arts Council,Performing Arts,Sunset Park
Reggae Under The Bridge,Music,Coney Island
Renee K. Smith,Folk Arts,Flatbush
Robert O. Duncan,Music,Williamsburg
Rohan Bhargava | Rovaco Dance Company,Dance,Greenpoint
Rooted Theater Company,Performing Arts,East New York
Salomé Egas,Multidisciplinary,Williamsburg
Sari Nordman,Interdisciplinary,
Siji Awoyinka,Film/Video,East New York
Sista Zaraya / Watoto Entertainment,Performing Arts,
Something Positive Inc.,Dance,Fort Greene
STooPS,Multidisciplinary,Bedford-Stuyvesant
Str8OuttaBklyn Media,Performing Arts,Bedford-Stuyvesant
Summertime Gallery,Multidisciplinary,Williamsburg
Superhero Clubhouse,Performing Arts,
Tea Arts & Culture,Multidisciplinary,Park Slope
The Brooklyn Nomads,Music,
The Exponential Festival,Theater,
The Free Black Women's Library,Interdisciplinary,Bedford-Stuyvesant
The Poetry Society of New York,Multidisciplinary,Williamsburg
Theater In Asylum,Multidisciplinary,Red Hook
Trina Basu Ramamurthy,Music,Downtown Brooklyn
Unheard-of Ensemble,Music,Gowanus
United Community Centers,Multidisciplinary,East New York
Up Until Now Collective,Multidisciplinary,Bushwick
Vassa Vasileva | Essence Theatre Studio,Theater,
Victoria-Idongesit Udondian,Visual Arts,DUMBO
Vong Pak,Dance,
Weeksville Heritage Center,Interdisciplinary,
What Will the Neighbors Say?,Theater,
Womxn's Tango Collective,Interdisciplinary,Fort Greene
Wuyi Jacobs,Multidisciplinary,
Yaa Samar! Dance Theatre,Dance,
Yasmin Mistry,Film/Video,
Zaneta,Interdisciplinary,Williamsburg
Zoe Rabinowitz & Galen Bremer,Multidisciplinary,Greenpoint
Zulu Padilla,Visual Arts,Prospect Lefferts Gardens
¡Oye! Group,Performing Arts,Bushwick
