Year,geoid,type,name,centroid_lng,centroid_lat,bbox_arr
2021,3604286,place,"Balmville, NY",-74.0246266,41.5279046,"{-74.041337,41.517494,-74.005193,41.540248}"
2021,3604388,place,"Bard College, NY",-73.9093674,42.0228164,"{-73.920125,42.011789,-73.899745,42.032673}"
2021,3604396,place,"Bardonia, NY",-73.9792966,41.1139517,"{-74.007733,41.10078,-73.964282,41.127577}"
2021,3604440,place,"Barker, NY",-78.5535349,43.3283276,"{-78.561171,43.322689,-78.547132,43.337384}"
2021,3604528,place,"Barneveld, NY",-75.1876862,43.2744967,"{-75.19741,43.264969,-75.182974,43.28539}"
2021,3604550,place,"Barnum Island, NY",-73.643134,40.6049158,"{-73.65675,40.595364,-73.631873,40.617716}"
2021,3604605,place,"Barrytown, NY",-73.9259731,42.0001257,"{-73.932543,41.998077,-73.917838,42.004324}"
2021,3604616,place,"Barryville, NY",-74.9168011,41.4812617,"{-74.932312,41.472981,-74.899631,41.48942}"
2021,3604715,place,"Batavia, NY",-78.1808064,42.9985582,"{-78.212848,42.980779,-78.149896,43.017361}"
2021,3604759,place,"Bath, NY",-77.3168595,42.3360928,"{-77.343456,42.3191,-77.294691,42.353115}"
2021,3604803,place,"Baxter Estates, NY",-73.6947594,40.833771,"{-73.700694,40.830387,-73.689174,40.837167}"
2021,3604891,place,"Bay Park, NY",-73.6685205,40.631817,"{-73.677403,40.622164,-73.657269,40.637822}"
2021,3604913,place,"Bayport, NY",-73.0563882,40.7459836,"{-73.075348,40.722516,-73.037876,40.774112}"
2021,3604935,place,"Bay Shore, NY",-73.2501414,40.7293769,"{-73.286695,40.702242,-73.223466,40.752831}"
2021,3605034,place,"Bayville, NY",-73.561166,40.9072567,"{-73.583234,40.899091,-73.528035,40.915782}"
2021,3605039,place,"Baywood, NY",-73.2899258,40.7533535,"{-73.306479,40.737623,-73.278868,40.772659}"
2021,3605100,place,"Beacon, NY",-73.9647353,41.5032396,"{-73.989318,41.479923,-73.935177,41.524947}"
2021,3605188,place,"Beaver Dam Lake, NY",-74.1259286,41.4389597,"{-74.140519,41.427498,-74.101279,41.456324}"
2021,3605309,place,"Bedford, NY",-73.6573766,41.1868631,"{-73.668497,41.174778,-73.624148,41.213744}"
2021,3605342,place,"Bedford Hills, NY",-73.688149,41.2405675,"{-73.717274,41.224365,-73.678441,41.245968}"
2021,3605562,place,"Belfast, NY",-78.1184654,42.341322,"{-78.130737,42.327359,-78.102822,42.355176}"
2021,3605639,place,"Bellerose, NY",-73.7166744,40.724275,"{-73.721401,40.72135,-73.71228,40.726978}"
2021,3605661,place,"Bellerose Terrace, NY",-73.7251593,40.7221466,"{-73.730326,40.719167,-73.720322,40.725341}"
2021,3605672,place,"Belle Terre, NY",-73.0672743,40.9606977,"{-73.079614,40.949821,-73.058838,40.970922}"
2021,3605683,place,"Belleville, NY",-76.1151611,43.7929539,"{-76.121769,43.777756,-76.107022,43.798699}"
2021,3605738,place,"Bellmore, NY",-73.5265973,40.6602385,"{-73.545111,40.628482,-73.51337,40.679713}"
2021,3605771,place,"Bellport, NY",-72.9413254,40.7509502,"{-72.956048,40.712076,-72.925141,40.766022}"
2021,3605815,place,"Belmont, NY",-78.0307937,42.2201045,"{-78.045887,42.212985,-78.019534,42.232289}"
2021,3605848,place,"Bemus Point, NY",-79.3894759,42.1632486,"{-79.396891,42.154611,-79.381984,42.172917}"
2021,3606046,place,"Bergen, NY",-77.9424576,43.082601,"{-77.950808,43.073249,-77.928513,43.090686}"
2021,3606387,place,"Bethpage, NY",-73.4855359,40.7495174,"{-73.50601,40.731039,-73.460326,40.76984}"
2021,3606464,place,"Big Flats, NY",-76.908739,42.163617,"{-76.966109,42.124141,-76.860269,42.200374}"
2021,3606574,place,"Billington Heights, NY",-78.6265517,42.785031,"{-78.653699,42.77385,-78.593638,42.798809}"
2021,3606607,place,"Binghamton, NY",-75.9093694,42.1013306,"{-75.95015,42.071862,-75.857023,42.131775}"
2021,3606644,place,"Binghamton University, NY",-75.9684559,42.0891413,"{-75.982171,42.081492,-75.957497,42.095702}"
2021,3606794,place,"Black River, NY",-75.7964631,44.0095252,"{-75.822402,43.992265,-75.780888,44.023116}"
2021,3606849,place,"Blasdell, NY",-78.8324004,42.796519,"{-78.841975,42.784161,-78.820863,42.805059}"
2021,3606860,place,"Blauvelt, NY",-73.954937,41.0682358,"{-73.986472,41.050543,-73.927304,41.088766}"
2021,3606904,place,"Bliss, NY",-78.2537447,42.5801376,"{-78.286245,42.554544,-78.219441,42.608855}"
2021,3606937,place,"Blodgett Mills, NY",-76.1328725,42.5665158,"{-76.148665,42.554404,-76.112619,42.585616}"
2021,3606945,place,"Bloomfield, NY",-77.4241336,42.8991199,"{-77.440768,42.890113,-77.407719,42.909015}"
2021,3606959,place,"Bloomingburg, NY",-74.4437581,41.5519473,"{-74.453725,41.543023,-74.428662,41.560371}"
2021,3607025,place,"Bloomville, NY",-74.8227773,42.334396,"{-74.834149,42.325034,-74.796912,42.34357}"
2021,3607069,place,"Blue Point, NY",-73.0350153,40.7516425,"{-73.042401,40.729412,-73.021694,40.776452}"
2021,3607157,place,"Bohemia, NY",-73.1350895,40.7770107,"{-73.169686,40.747902,-73.082741,40.792557}"
2021,3607190,place,"Bolivar, NY",-78.1662121,42.0684215,"{-78.174344,42.059618,-78.155956,42.080509}"
2021,3607245,place,"Bolton Landing, NY",-73.6525225,43.5639925,"{-73.677494,43.545261,-73.630466,43.58811}"
2021,3607355,place,"Boonville, NY",-75.3296356,43.4808621,"{-75.346896,43.472894,-75.309538,43.491111}"
2021,3607960,place,"Brasher Falls, NY",-74.7889481,44.8139785,"{-74.803533,44.797655,-74.756944,44.820869}"
